order,slug,image_url,caption,posted
1,"apartment-decor-ideas-on-a-budget","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/01-apartment-decor-ideas-on-a-budget.jpg","Cheap — but it doesn’t look cheap.

Transform your rental for under $200 CAD. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #budgetdecor #affordabledecor #dollaramafinds #canada",
2,"apartment-decor-ideas","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/02-apartment-decor-ideas.jpg","Deposit-safe decorating that doesn’t look temporary.

14 renter-friendly apartment decor ideas for Canadian apartments. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #rentaldecor #renterfriendly #apartmentstyle #canada",
3,"budget-apartment-decor-under-50","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/03-budget-apartment-decor-under-50.jpg","Whole look for under $100 CAD 👇

Real Canadian apartment decor ideas under $50 CAD. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #budgetdecor #affordabledecor #dollaramafinds #under50",
4,"cheapest-ways-rental-feel-stylish","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/04-cheapest-ways-rental-feel-stylish.jpg","Cheap — but it doesn’t look cheap.

Make a Canadian rental feel stylish for almost nothing. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #budgetdecor #affordabledecor #dollaramafinds #rentaldecorating #budgettips #canada",
5,"command-strip-decorating-hacks-renters","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/05-command-strip-decorating-hacks-renters.jpg","Made a rental feel like home — nothing permanent.

15 renter-friendly Command strip decorating ideas that won't void your security deposit. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #rentaldecor #renterfriendly #apartmentstyle #commandstrips #nodrilldecorating #renterfriendlydecor",
6,"condo-storage-ideas-toronto-vancouver","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/06-condo-storage-ideas-toronto-vancouver.jpg","Every centimetre counts in a small apartment.

Condo storage ideas for small Toronto and Vancouver units. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #smallspacestorage #apartmentstorage #storagesolutions #condostorage #renterfriendly #canada",
7,"cozy-winter-apartment-decor","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/07-cozy-winter-apartment-decor.jpg","Deposit-safe decorating that doesn’t look temporary.

Cozy winter apartment decor ideas for Canadian renters. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #rentaldecor #renterfriendly #apartmentstyle #cozyapartment #winterdecor #canada",
8,"dollarama-finds-look-expensive","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/08-dollarama-finds-look-expensive.jpg","Cheap — but it doesn’t look cheap.

The Dollarama items that read as high-end in a Canadian rental. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #budgetdecor #affordabledecor #dollaramafinds #dollarama #canada",
9,"facebook-marketplace-furnishing-budget","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/09-facebook-marketplace-furnishing-budget.jpg","Where the money actually made a difference.

How to use Facebook Marketplace to furnish a small Canadian apartment for less. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #budgetdecor #affordabledecor #dollaramafinds #facebookmarketplace #secondhandfurniture #budgetfurniture",
10,"fall-apartment-decorating-ideas","https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/main/social-posts/ready-CAD/10-fall-apartment-decorating-ideas.jpg","Renter-friendly, and it comes off clean 👇

Fall apartment decorating ideas for Canadian renters. Real CAD prices, renter-friendly, no renovation.

Full guide — link in bio.

#smallspaceliving #smallapartment #rentersofinstagram #apartmentdecor #smallspacesquad #rentaldecor #renterfriendly #apartmentstyle #falldecor #autumnapartment #canada",
