Category,Article Title,URL,Real_Git_Date,Frontmatter_Date,Impressions_28d,Clicks_28d,Avg_Position,Bucket,Action,Impressions_90d_GSC,Clicks_90d_GSC,GSC_Note_2026-08-17
Budget Tips,Apartment Organization Under $100 CAD,https://smallspacehome.ca/blog/small-apartment-organization-ideas-on-a-budget,2026-06-25,,6,0,4.3,"C - Good position, low volume (leave alone)",MONITOR,1,0,
Budget Tips,Budget Apartment Decor Ideas Under $50 CAD,https://smallspacehome.ca/blog/budget-apartment-decor-under-50,2026-08-11,,0,0,,A - Zero impressions (diagnose),"DO-NOT-MERGE (reversed 2026-08-17) -- read the full article: it targets a genuinely distinct $50 budget tier vs. the $200 survivor, not a duplicate. Zero impressions is explained by publish date (2026-08-10, 1 week before this check), same as other WAIT-RECHECK-SEPT posts. Treat as WAIT-RECHECK-SEPT instead.",0,0,see updated Action
Budget Tips,Budget Apartment Decor: Under $200 CAD,https://smallspacehome.ca/blog/apartment-decor-ideas-on-a-budget,2026-06-25,,44,1,28.0,D - Steady / building authority,"KEEP-PILLAR (survivor for cheap-decor cluster). CONFIRMED 2026-08-17: 37 impr/90d real GSC; real matched query is ""cute cheap apartment ideas"" (32 impr @ pos 34) -- consider working this exact phrase into the title/H2 on next edit.",37,0,see updated Action
Budget Tips,Cheapest Ways to Make a Rental Feel More Stylish,https://smallspacehome.ca/blog/cheapest-ways-rental-feel-stylish,2026-08-11,,0,0,,A - Zero impressions (diagnose),"DO-NOT-MERGE (reversed 2026-08-17) -- read the full article: distinct free/near-free angle (decluttering, rearranging, thrifting), not a duplicate of the $200 survivor. Treat as WAIT-RECHECK-SEPT instead.",0,0,see updated Action
Budget Tips,Dollarama Finds That Look Expensive in a Small Apartment,https://smallspacehome.ca/blog/dollarama-finds-look-expensive,2026-08-11,,0,0,,A - Zero impressions (diagnose),"WAIT-RECHECK-SEPT (distinct angle, may survive)",0,0,
Budget Tips,Facebook Marketplace Finds for Furnishing on a Budget,https://smallspacehome.ca/blog/facebook-marketplace-furnishing-budget,2026-08-10,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Budget Tips,Free & Cheap Apartment Decor: DIY vs. Buy,https://smallspacehome.ca/blog/free-cheap-apartment-decor-diy-vs-buy,2026-08-10,,0,0,,A - Zero impressions (diagnose),"DO-NOT-MERGE (reversed 2026-08-17) -- read the full article: distinct DIY-vs-buy decision-framework angle with its own cost table, not a duplicate. Treat as WAIT-RECHECK-SEPT instead.",0,0,see updated Action
Budget Tips,September Student Move-In Storage Setup Guide,https://smallspacehome.ca/blog/september-student-move-in-storage-guide,2026-07-27,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT (seasonal),0,0,
Decor,10 Multifunctional Furniture Ideas for Small Rentals,https://smallspacehome.ca/blog/multifunctional-furniture-small-apartment,2026-07-31,,9,0,41.2,D - Steady / building authority,WAIT-RECHECK-SEPT,8,0,
Decor,12 Plant Corner Ideas for Small Canadian Apartments,https://smallspacehome.ca/blog/small-apartment-plant-corner-ideas,2026-08-08,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
